id,category,keywords,question,answer,escalation,tool_call
1,Security,"2FA, authentication, security","Как настроить двухфакторную аутентификацию?","Для настройки 2FA зайдите в личный кабинет -> Безопасность -> Включить 2FA. Используйте приложение Google Authenticator или Microsoft Authenticator.",it_support,
2,Security,"NDA, agreement, confidentiality","Где подписать NDA?","Соглашение о неразглашении (NDA) отправлено вам на электронную почту через сервис DocuSign. Пожалуйста, подпишите его до конца первого рабочего дня.",hr,
3,Org,"schedule, hours, working time","Какой график работы в NeoMoney?","У нас гибкий график. Главное — быть в сети и доступным для коллег в 'core hours' с 11:00 до 16:00 по московскому времени.",manager,
4,Tools,"VPN, access, remote","Как получить доступ к корпоративному VPN?","Запрос на VPN создается в Jira через форму 'IT-Request'. После одобрения вашего руководителя IT-отдел пришлет вам инструкции по настройке.",it_support,
5,Onboarding,"Day 1, first day, checklist","Что мне нужно сделать в первый день?","Ваш план на сегодня: 1. Подписать NDA. 2. Настроить корпоративную почту. 3. Познакомиться с вашим бадди в Slack. 4. Пройти вводный инструктаж по безопасности.",manager,
6,Security,"Compliance, AML, KYC","Что такое AML/KYC и почему это важно?","AML (Anti-Money Laundering) и KYC (Know Your Customer) — это стандарты борьбы с отмыванием денег и идентификации клиентов. В NeoMoney соблюдение этих правил обязательно для всех сотрудников. Ознакомьтесь с полным регламентом в Confluence в разделе 'Compliance'.",it_support,
7,Tools,"NeoCore, transaction, software","Что такое NeoCore и как в нем работать?","NeoCore — это наша внутренняя система управления транзакциями. Доступ предоставляется после прохождения курса по безопасности. Инструкция по базовым операциям находится в базе знаний Confluence.",it_support,
8,Org,"Vacation, time off, sick leave","Как оформить отпуск или больничный?","Все заявки на отпуск или больничный подаются через систему 'NeoPeople'. Запрос на отпуск должен быть подан минимум за 2 недели до начала.",hr,
9,Onboarding,"Buddy, mentor, help","Кто такой 'бадди' и чем он может помочь?","Бадди — это ваш коллега-наставник, который помогает влиться в коллектив и отвечает на неформальные вопросы. Ваш бадди указан в приветственном письме.",manager,
10,Security,"Password, change, leak","Что делать, если я подозреваю утечку пароля?","Немедленно смените пароль в системе и сообщите об этом в канал #security-alerts в Slack или напишите в IT-поддержку.",it_support,
11,Onboarding,"Week 1, first week, checklist","Что нужно сделать в первую неделю?","Ваш чек-лист на первую неделю: 1. Пройти курс по информационной безопасности. 2. Изучить продуктовую линейку NeoMoney. 3. Провести встречу-знакомство с руководителем. 4. Получить доступы к рабочим инструментам (Jira, Confluence, NeoCore). 5. Посетить вводный вебинар для новых сотрудников.",manager,
12,Onboarding,"Month 1, first month, probation","Что нужно сделать за первый месяц (испытательный срок)?","Ваш план на первый месяц: 1. Выполнить первое рабочее задание (тестовый проект). 2. Составить план развития на испытательный срок вместе с руководителем. 3. Пройти оценку адаптации (чек-ин с HR). 4. Получить обратную связь от команды и бадди. 5. Ознакомиться с финансовой отчетностью компании.",manager,
13,Org,"Culture, values, mission, dress code","Расскажи о корпоративной культуре NeoMoney","Наши ценности: Инновации, Прозрачность и Безопасность. Мы поощряем открытое общение, гибкий подход к работе и постоянное обучение. Дресс-код — smart casual. Каждую пятницу у нас проходят 'NeoTalks' — внутренние митапы для обмена знаниями.",manager,
